,time,name,price,symbol,marketcap,link,image
40,20211017134951,Bitcoin,61052.48,BTC,1150619491778,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
41,20211017134951,Ethereum,3808.99,ETH,449329301313,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
42,20211017134951,Binance Coin,465.84,BNB,78324807592,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
43,20211017134951,Cardano,2.16,ADA,71024528157,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
44,20211017134951,Tether,0.9999,USDT,69027515956,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
45,20211017134951,XRP,1.12,XRP,52540219854,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
46,20211017134951,Solana,159.89,SOL,48036333871,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
47,20211017134951,Polkadot,41.33,DOT,40815503940,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
48,20211017134951,USD Coin,0.9999,USDC,32749209201,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
49,20211017134951,Dogecoin,0.2366,DOGE,31170479004,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
50,20211017225702,Bitcoin,61141.91,BTC,1152318210771,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
51,20211017225702,Ethereum,3812.87,ETH,449800596877,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
52,20211017225702,Binance Coin,468.95,BNB,78847258249,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
53,20211017225702,Cardano,2.14,ADA,70514040124,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
54,20211017225702,Tether,1.00,USDT,69050556285,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
55,20211017225702,XRP,1.09,XRP,51131765686,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
56,20211017225702,Solana,159.41,SOL,47891069701,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
57,20211017225702,Polkadot,41.63,DOT,41112989640,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
58,20211017225702,USD Coin,1.00,USDC,32803499038,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
59,20211017225702,Dogecoin,0.2395,DOGE,31548448114,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
60,20211017135021,Bitcoin,61052.48,BTC,1150619491778,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
61,20211017135021,Ethereum,3808.99,ETH,449329301313,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
62,20211017135021,Binance Coin,465.84,BNB,78324807592,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
63,20211017135021,Cardano,2.16,ADA,71024528157,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
64,20211017135021,Tether,0.9999,USDT,69027515956,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
65,20211017135021,XRP,1.12,XRP,52540219854,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
66,20211017135021,Solana,159.89,SOL,48036333871,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
67,20211017135021,Polkadot,41.33,DOT,40815503940,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
68,20211017135021,USD Coin,0.9999,USDC,32749209201,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
69,20211017135021,Dogecoin,0.2366,DOGE,31170479004,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
70,20211017225331,Bitcoin,61153.07,BTC,1152528471971,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
71,20211017225331,Ethereum,3819.23,ETH,450550045244,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
72,20211017225331,Binance Coin,468.26,BNB,78732637080,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
73,20211017225331,Cardano,2.14,ADA,70392271590,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
74,20211017225331,Tether,1.00,USDT,69049679495,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
75,20211017225331,XRP,1.09,XRP,51124900158,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
76,20211017225331,Solana,159.27,SOL,47848370176,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
77,20211017225331,Polkadot,41.71,DOT,41190593056,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
78,20211017225331,USD Coin,1.00,USDC,32803499303,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
79,20211017225331,Dogecoin,0.2399,DOGE,31600603498,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
80,20211017225632,Bitcoin,61141.91,BTC,1152318210771,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
81,20211017225632,Ethereum,3812.87,ETH,449800596877,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
82,20211017225632,Binance Coin,468.95,BNB,78847258249,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
83,20211017225632,Cardano,2.14,ADA,70514040124,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
84,20211017225632,Tether,1.00,USDT,69050556285,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
85,20211017225632,XRP,1.09,XRP,51131765686,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
86,20211017225632,Solana,159.41,SOL,47891069701,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
87,20211017225632,Polkadot,41.63,DOT,41112989640,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
88,20211017225632,USD Coin,1.00,USDC,32803499038,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
